image,film,ligand,sa,kd,l
mf#rh#11539#R#mk80#5690#22,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#23,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#24,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#25,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#26,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#27,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#28,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#29,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#30,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#31,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5690#32,mf5690,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#33,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#34,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#35,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#36,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#37,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#38,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#39,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#40,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#41,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#42,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#43,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#44,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#45,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#46,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#47,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#48,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#49,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#50,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#51,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#52,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#53,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#54,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#55,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#56,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#57,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#58,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#59,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#60,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#61,mf5691,mk80,24.2,5,5.2
mf#rh#11539#R#mk80#5691#62,mf5691,mk80,24.2,5,5.2
,
mf#rh#11539#R#musc#5692#01,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#02,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#03,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#04,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#05,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#06,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#07,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#08,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#09,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#10,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#11,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#12,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#13,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#14,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#15,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#16,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#17,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#18,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#19,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#20,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#21,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#22,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#23,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#24,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#25,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#26,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#27,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#28,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#29,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#30,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#31,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5692#32,mf5692,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#33,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#34,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#35,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#36,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#37,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#38,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#39,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#40,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#41,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#42,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#43,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#44,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#45,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#46,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#47,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#48,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#49,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#50,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#51,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#52,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#53,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#54,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#55,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#56,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#57,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#58,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#59,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#60,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#61,mf5693,musc,29.5,6,8.31
mf#rh#11539#R#musc#5693#62,mf5693,musc,29.5,6,8.31
,
mf#rh#11539#R#cgp5#5682#01,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#02,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#03,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#04,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#05,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#06,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#07,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#08,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#09,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#10,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#11,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#12,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#13,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#14,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#15,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#16,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#17,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#18,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#19,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#20,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#21,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#22,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#23,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#24,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#25,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#26,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#27,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#28,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#29,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#30,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#31,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5682#32,mf5682,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#33,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#34,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#35,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#36,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#37,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#38,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#39,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#40,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#41,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#42,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#43,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#44,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#45,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#46,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#47,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#48,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#49,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#50,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#51,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#52,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#53,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#54,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#55,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#56,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#57,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#58,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#59,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#60,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#61,mf5683,cgp5,50,1.48,1.86
mf#rh#11539#R#cgp5#5683#62,mf5683,cgp5,50,1.48,1.86
,
mf#rh#11539#R#flum#5678#01,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#02,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#03,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#04,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#05,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#06,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#07,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#08,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#09,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#10,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#11,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#12,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#13,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#14,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#15,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#16,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#17,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#18,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#19,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#20,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#21,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#22,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#23,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#24,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#25,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#26,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5678#27,mf5678,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00a,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00b,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00c,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00d,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00e,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00f,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00g,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00h,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00i,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#00j,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#28,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#29,mf5679,flum,78.6,2,0.96
