image,ligand,sa,kd,l
mo#rh#11543#L#ampa#5722#01,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#02,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#03,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#04,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#05,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#06,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#07,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#08,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#09,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#10,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#11,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#12,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#13,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#14,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#15,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#16,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#17,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#18,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#19,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#20,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#21,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#22,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#23,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#24,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#25,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#26,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#27,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#28,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#29,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#30,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#31,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#32,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5722#33,mo5722,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#34,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#35,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#36,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#37,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#38,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#39,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#40,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#41,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#42,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#43,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#44,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#45,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#46,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#47,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#48,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#49,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#50,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#51,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#52,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#53,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#54,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#55,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#56,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#57,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#58,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#59,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#60,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#ampa#5723#61,mo5723,ampa,55.5,10,10.42
mo#rh#11543#L#cgp5#5718#01,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#02,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#03,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#04,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#05,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#06,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#07,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#08,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#09,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#10,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#11,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#12,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#13,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#14,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#15,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#16,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#17,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#18,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#19,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#20,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#21,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#22,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#23,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#24,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#25,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#26,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#27,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#28,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#29,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#30,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#31,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#32,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5718#33,mo5718,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#34,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#35,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#36,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#37,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#38,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#39,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#40,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#41,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#42,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#43,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#44,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#45,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#46,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#47,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#48,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#49,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#50,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#51,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#52,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#53,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#54,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#55,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#56,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#57,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#58,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#59,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#60,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#cgp5#5719#61,mo5719,cgp5,50,1.48,1.84
mo#rh#11543#L#damp#5716#01,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#02,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#03,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#04,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#05,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#06,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#07,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#08,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#09,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#10,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#11,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#12,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#13,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#14,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#15,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#16,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#17,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#18,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#19,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#20,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#21,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#22,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#23,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#24,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#25,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#26,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#27,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#28,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#29,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#30,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#31,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#32,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5716#33,mo5716,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#35,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#36,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#37,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#38,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#39,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#40,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#41,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#42,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#43,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#44,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#45,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#46,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#47,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#48,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#49,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#50,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#51,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#52,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#54,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#55,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#56,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#57,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#58,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#59,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#60,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#damp#5717#61,mo5717,damp,80.5,0.2,1.089
mo#rh#11543#L#dpat#5746#01,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#02,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#03,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#04,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#05,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#06,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#07,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#08,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#09,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#10,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#11,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#12,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#13,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#14,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#15,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#16,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#17,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#18,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#19,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#20,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#21,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#22,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#23,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#24,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#25,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#26,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#27,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#28,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#29,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#30,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#31,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#32,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5746#33,mo5746,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#34,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#35,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#36,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#37,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#38,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#39,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#40,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#41,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#42,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#43,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#44,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#45,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#46,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#47,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#48,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#49,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#50,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#51,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#52,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#53,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#54,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#55,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#56,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#57,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#58,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#59,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#60,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpat#5747#61,mo5747,dpat,129,2,1.15
mo#rh#11543#L#dpmg#5720#01,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#02,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#03,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#04,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#05,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#06,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#07,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#08,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#09,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#10,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#11,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#12,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#13,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#14,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#15,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#16,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#17,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#18,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#19,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#20,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#21,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#22,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#23,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#24,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#25,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#26,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#27,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#28,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#29,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#30,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#31,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#32,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5720#33,mo5720,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#34,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#36,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#37,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#38,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#39,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#40,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#41,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#42,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#43,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#44,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#45,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#46,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#47,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#48,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#49,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#50,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#51,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#52,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#53,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#54,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#55,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#56,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#57,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#58,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#59,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#60,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#dpmg#5721#61,mo5721,dpmg,108.3,0.5,1
mo#rh#11543#L#epib#5744#01,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#02,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#03,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#04,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#05,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#06,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#07,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#08,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#09,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#10,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#11,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#12,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#13,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#14,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#15,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#16,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#17,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#18,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#19,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#20,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#21,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#22,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#23,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#24,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#25,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#26,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#27,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#28,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#29,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#30,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#31,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#32,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5744#33,mo5744,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#34,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#35,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#36,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#37,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#38,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#39,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#40,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#41,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#42,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#43,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#44,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#45,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#46,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#47,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#48,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#49,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#50,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#51,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#52,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#53,mo5745,epib,56.2,0.02,0.6
