,fn,slab_order,mri,slab,hemisphere,ligand,sheet,repeat,global_order
184,QY#HG#MR1s2#R#sch2#6161#04,185,MR1,2,R,sch2,6161,04,1629
185,QY#HG#MR1s2#R#rx82#6157#04,186,MR1,2,R,rx82,6157,04,1630
186,QY#HG#MR1s2#R#afdx#6197#04,187,MR1,2,R,afdx,6197,04,1631
187,QY#HG#MR1s2#R#dpog#6177#04,188,MR1,2,R,dpog,6177,04,1632
189,QY#HG#MR1s2#R#dpmg#6181#04,190,MR1,2,R,dpmg,6181,04,1634
190,QY#HG#MR1s2#R#ly34#6201#04,191,MR1,2,R,ly34,6201,04,1635
192,QY#HG#MR1s2#R#cpog#6169#04,193,MR1,2,R,cpog,6169,04,1637
193,QY#HG#MR1s2#R#cpmg#6173#04,194,MR1,2,R,cpmg,6173,04,1638
194,QY#HG#MR1s2#R#keta#6145#04,195,MR1,2,R,keta,6145,04,1639
196,QY#HG#MR1S2#R#pire#9513#04,197,MR1,2,R,pire,9513,04,1641
208,QY#HG#MR1s2#R#ampa#6117#05,209,MR1,2,R,ampa,6117,05,1653
210,QY#HG#MR1s2#R#kain#6121#05,211,MR1,2,R,kain,6121,05,1655
211,QY#HG#MR1s2#R#mk80#6125#05,212,MR1,2,R,mk80,6125,05,1656
212,QY#HG#MR1s2#R#musc#6129#05,213,MR1,2,R,musc,6129,05,1657
213,QY#HG#MR1s2#R#cgp5#6185#05,214,MR1,2,R,cgp5,6185,05,1658
214,QY#HG#MR1s2#R#flum#6189#05,215,MR1,2,R,flum,6189,05,1659
216,QY#HG#MR1s2#R#oxot#6137#05,217,MR1,2,R,oxot,6137,05,1661
218,QY#HG#MR1s2#R#damp#6193#05,219,MR1,2,R,damp,6193,05,1663
220,QY#HG#MR1s2#R#epib#6165#05,221,MR1,2,R,epib,6165,05,1665
223,QY#HG#MR1s2#R#praz#6149#05,224,MR1,2,R,praz,6149,05,1668
224,QY#HG#MR1s2#R#uk14#6153#05,225,MR1,2,R,uk14,6153,05,1669
226,QY#HG#MR1s2#R#dpat#6141#05,227,MR1,2,R,dpat,6141,05,1671
228,QY#HG#MR1s2#R#sr95#6205#05,229,MR1,2,R,sr95,6205,05,1673
230,QY#HG#MR1s2#R#sch2#6161#05,231,MR1,2,R,sch2,6161,05,1675
231,QY#HG#MR1s2#R#rx82#6157#05,232,MR1,2,R,rx82,6157,05,1676
232,QY#HG#MR1s2#R#afdx#6197#05,233,MR1,2,R,afdx,6197,05,1677
233,QY#HG#MR1s2#R#dpog#6177#05,234,MR1,2,R,dpog,6177,05,1678
235,QY#HG#MR1s2#R#dpmg#6181#05,236,MR1,2,R,dpmg,6181,05,1680
236,QY#HG#MR1s2#R#ly34#6201#05,237,MR1,2,R,ly34,6201,05,1681
238,QY#HG#MR1s2#R#cpog#6169#05,239,MR1,2,R,cpog,6169,05,1683
239,QY#HG#MR1s2#R#cpmg#6173#05,240,MR1,2,R,cpmg,6173,05,1684
241,QY#HG#MR1s2#R#keta#6145#05,242,MR1,2,R,keta,6145,05,1686
242,QY#HG#MR1S2#R#pire#9513#05,243,MR1,2,R,pire,9513,05,1687
256,QY#HG#MR1s2#R#ampa#6117#06,257,MR1,2,R,ampa,6117,06,1701
261,QY#HG#MR1s2#R#kain#6121#06,262,MR1,2,R,kain,6121,06,1706
262,QY#HG#MR1s2#R#mk80#6125#06,263,MR1,2,R,mk80,6125,06,1707
263,QY#HG#MR1s2#R#musc#6129#06,264,MR1,2,R,musc,6129,06,1708
264,QY#HG#MR1s2#R#cgp5#6185#06,265,MR1,2,R,cgp5,6185,06,1709
265,QY#HG#MR1s2#R#flum#6189#06,266,MR1,2,R,flum,6189,06,1710
267,QY#HG#MR1s2#R#oxot#6137#06,268,MR1,2,R,oxot,6137,06,1712
273,QY#HG#MR1s2#R#damp#6193#06,274,MR1,2,R,damp,6193,06,1718
275,QY#HG#MR1s2#R#epib#6165#06,276,MR1,2,R,epib,6165,06,1720
276,QY#HG#MR1s2#R#praz#6149#06,277,MR1,2,R,praz,6149,06,1721
279,QY#HG#MR1s2#R#uk14#6153#06,280,MR1,2,R,uk14,6153,06,1724
281,QY#HG#MR1s2#R#dpat#6141#06,282,MR1,2,R,dpat,6141,06,1726
282,QY#HG#MR1s2#R#sr95#6205#06,283,MR1,2,R,sr95,6205,06,1727
283,QY#HG#MR1s2#R#sch2#6161#06,284,MR1,2,R,sch2,6161,06,1728
285,QY#HG#MR1s2#R#rx82#6157#06,286,MR1,2,R,rx82,6157,06,1730
286,QY#HG#MR1s2#R#afdx#6197#06,287,MR1,2,R,afdx,6197,06,1731
287,QY#HG#MR1s2#R#dpog#6177#06,288,MR1,2,R,dpog,6177,06,1732
291,QY#HG#MR1s2#R#dpmg#6181#06,292,MR1,2,R,dpmg,6181,06,1736
293,QY#HG#MR1s2#R#ly34#6201#06,294,MR1,2,R,ly34,6201,06,1738
296,QY#HG#MR1s2#R#cpog#6169#06,297,MR1,2,R,cpog,6169,06,1741
297,QY#HG#MR1s2#R#cpmg#6173#06,298,MR1,2,R,cpmg,6173,06,1742
299,QY#HG#MR1s2#R#keta#6145#06,300,MR1,2,R,keta,6145,06,1744
301,QY#HG#MR1S2#R#pire#9513#06,302,MR1,2,R,pire,9513,06,1746
310,QY#HG#MR1s2#R#ampa#6118#07,311,MR1,2,R,ampa,6118,07,1755
313,QY#HG#MR1s2#R#kain#6122#07,314,MR1,2,R,kain,6122,07,1758
314,QY#HG#MR1s2#R#mk80#6126#07,315,MR1,2,R,mk80,6126,07,1759
315,QY#HG#MR1s2#R#musc#6129#07,316,MR1,2,R,musc,6129,07,1760
316,QY#HG#MR1s2#R#cgp5#6186#07,317,MR1,2,R,cgp5,6186,07,1761
317,QY#HG#MR1s2#R#flum#6189#07,318,MR1,2,R,flum,6189,07,1762
319,QY#HG#MR1s2#R#oxot#6137#07,320,MR1,2,R,oxot,6137,07,1764
321,QY#HG#MR1s2#R#damp#6194#07,322,MR1,2,R,damp,6194,07,1766
323,QY#HG#MR1s2#R#epib#6165#07,324,MR1,2,R,epib,6165,07,1768
324,QY#HG#MR1s2#R#praz#6149#07,325,MR1,2,R,praz,6149,07,1769
325,QY#HG#MR1s2#R#uk14#6153#07,326,MR1,2,R,uk14,6153,07,1770
327,QY#HG#MR1s2#R#dpat#6141#07,328,MR1,2,R,dpat,6141,07,1772
328,QY#HG#MR1s2#R#sr95#6205#07,329,MR1,2,R,sr95,6205,07,1773
329,QY#HG#MR1s2#R#sch2#6161#07,330,MR1,2,R,sch2,6161,07,1774
334,QY#HG#MR1s2#R#rx82#6157#07,335,MR1,2,R,rx82,6157,07,1779
335,QY#HG#MR1s2#R#afdx#6198#07,336,MR1,2,R,afdx,6198,07,1780
336,QY#HG#MR1s2#R#dpog#6178#07,337,MR1,2,R,dpog,6178,07,1781
338,QY#HG#MR1s2#R#dpmg#6181#07,339,MR1,2,R,dpmg,6181,07,1783
339,QY#HG#MR1s2#R#ly34#6201#07,340,MR1,2,R,ly34,6201,07,1784
341,QY#HG#MR1s2#R#cpog#6170#07,342,MR1,2,R,cpog,6170,07,1786
342,QY#HG#MR1s2#R#cpmg#6174#07,343,MR1,2,R,cpmg,6174,07,1787
344,QY#HG#MR1s2#R#keta#6145#07,345,MR1,2,R,keta,6145,07,1789
345,QY#HG#MR1S2#R#pire#9513#07,346,MR1,2,R,pire,9513,07,1790
356,QY#HG#MR1s2#R#ampa#6118#08,357,MR1,2,R,ampa,6118,08,1801
361,QY#HG#MR1s2#R#kain#6122#08,362,MR1,2,R,kain,6122,08,1806
362,QY#HG#MR1s2#R#mk80#6126#08,363,MR1,2,R,mk80,6126,08,1807
363,QY#HG#MR1s2#R#musc#6129#08,364,MR1,2,R,musc,6129,08,1808
364,QY#HG#MR1s2#R#cgp5#6186#08,365,MR1,2,R,cgp5,6186,08,1809
365,QY#HG#MR1s2#R#flum#6189#08,366,MR1,2,R,flum,6189,08,1810
368,QY#HG#MR1s2#R#oxot#6137#08,369,MR1,2,R,oxot,6137,08,1813
370,QY#HG#MR1s2#R#damp#6194#08,371,MR1,2,R,damp,6194,08,1815
375,QY#HG#MR1s2#R#epib#6165#08,376,MR1,2,R,epib,6165,08,1820
377,QY#HG#MR1s2#R#uk14#6153#08,378,MR1,2,R,uk14,6153,08,1822
381,QY#HG#MR1s2#R#dpat#6141#08,382,MR1,2,R,dpat,6141,08,1826
382,QY#HG#MR1s2#R#sr95#6205#08,383,MR1,2,R,sr95,6205,08,1827
383,QY#HG#MR1s2#R#praz#6149#08,384,MR1,2,R,praz,6149,08,1828
384,QY#HG#MR1s2#R#sch2#6161#08,385,MR1,2,R,sch2,6161,08,1829
385,QY#HG#MR1s2#R#rx82#6157#08,386,MR1,2,R,rx82,6157,08,1830
390,QY#HG#MR1s2#R#afdx#6198#08,391,MR1,2,R,afdx,6198,08,1835
391,QY#HG#MR1s2#R#dpog#6178#08,392,MR1,2,R,dpog,6178,08,1836
393,QY#HG#MR1s2#R#dpmg#6181#08,394,MR1,2,R,dpmg,6181,08,1838
394,QY#HG#MR1s2#R#ly34#6201#08,395,MR1,2,R,ly34,6201,08,1839
396,QY#HG#MR1s2#R#cpog#6170#08,397,MR1,2,R,cpog,6170,08,1841
398,QY#HG#MR1s2#R#cpmg#6174#08,399,MR1,2,R,cpmg,6174,08,1843
399,QY#HG#MR1s2#R#keta#6145#08,400,MR1,2,R,keta,6145,08,1844
401,QY#HG#MR1S2#R#pire#9514#08,402,MR1,2,R,pire,9514,08,1846
411,QY#HG#MR1s2#R#ampa#6118#09,412,MR1,2,R,ampa,6118,09,1856
416,QY#HG#MR1s2#R#kain#6122#09,417,MR1,2,R,kain,6122,09,1861
417,QY#HG#MR1s2#R#mk80#6126#09,418,MR1,2,R,mk80,6126,09,1862
418,QY#HG#MR1s2#R#musc#6129#09,419,MR1,2,R,musc,6129,09,1863
419,QY#HG#MR1s2#R#cgp5#6186#09,420,MR1,2,R,cgp5,6186,09,1864
420,QY#HG#MR1s2#R#flum#6189#09,421,MR1,2,R,flum,6189,09,1865
422,QY#HG#MR1s2#R#oxot#6137#09,423,MR1,2,R,oxot,6137,09,1867
424,QY#HG#MR1s2#R#damp#6194#09,425,MR1,2,R,damp,6194,09,1869
427,QY#HG#MR1s2#R#epib#6165#09,428,MR1,2,R,epib,6165,09,1872
428,QY#HG#MR1s2#R#praz#6149#09,429,MR1,2,R,praz,6149,09,1873
429,QY#HG#MR1s2#R#uk14#6153#09,430,MR1,2,R,uk14,6153,09,1874
431,QY#HG#MR1s2#R#dpat#6141#09,432,MR1,2,R,dpat,6141,09,1876
432,QY#HG#MR1s2#R#sr95#6205#09,433,MR1,2,R,sr95,6205,09,1877
433,QY#HG#MR1s2#R#sch2#6161#09,434,MR1,2,R,sch2,6161,09,1878
435,QY#HG#MR1s2#R#rx82#6157#09,436,MR1,2,R,rx82,6157,09,1880
436,QY#HG#MR1s2#R#afdx#6198#09,437,MR1,2,R,afdx,6198,09,1881
437,QY#HG#MR1s2#R#dpog#6178#09,438,MR1,2,R,dpog,6178,09,1882
440,QY#HG#MR1s2#R#dpmg#6181#09,441,MR1,2,R,dpmg,6181,09,1885
441,QY#HG#MR1s2#R#ly34#6201#09,442,MR1,2,R,ly34,6201,09,1886
443,QY#HG#MR1s2#R#cpog#6170#09,444,MR1,2,R,cpog,6170,09,1888
444,QY#HG#MR1s2#R#cpmg#6174#09,445,MR1,2,R,cpmg,6174,09,1889
445,QY#HG#MR1s2#R#keta#6145#09,446,MR1,2,R,keta,6145,09,1890
446,QY#HG#MR1S2#R#pire#9514#09,447,MR1,2,R,pire,9514,09,1891
457,QY#HG#MR1s2#R#ampa#6118#10,458,MR1,2,R,ampa,6118,10,1902
459,QY#HG#MR1s2#R#kain#6122#10,460,MR1,2,R,kain,6122,10,1904
460,QY#HG#MR1s2#R#kain#6122#ub,461,MR1,2,R,kain,6122,ub,1905
463,QY#HG#MR1s2#R#mk80#6126#10,464,MR1,2,R,mk80,6126,10,1908
470,QY#HG#MR1s2#R#musc#6130#10,471,MR1,2,R,musc,6130,10,1915
472,QY#HG#MR1s2#R#cgp5#6186#10,473,MR1,2,R,cgp5,6186,10,1917
474,QY#HG#MR1s2#R#flum#6190#10,475,MR1,2,R,flum,6190,10,1919
478,QY#HG#MR1s2#R#oxot#6138#10,479,MR1,2,R,oxot,6138,10,1923
481,QY#HG#MR1S2#R#oxot#6138#UB,482,MR1,2,R,oxot,6138,UB,1926
482,QY#HG#MR1s2#R#damp#6194#10,483,MR1,2,R,damp,6194,10,1927
485,QY#HG#MR1s2#R#epib#6166#10,486,MR1,2,R,epib,6166,10,1930
487,QY#HG#MR1s2#R#praz#6150#10,488,MR1,2,R,praz,6150,10,1932
489,QY#HG#MR1s2#R#uk14#6154#10,490,MR1,2,R,uk14,6154,10,1934
494,QY#HG#MR1s2#R#dpat#6142#10,495,MR1,2,R,dpat,6142,10,1939
496,QY#HG#MR1s2#R#sr95#6206#10,497,MR1,2,R,sr95,6206,10,1941
499,QY#HG#MR1s2#R#sch2#6162#10,500,MR1,2,R,sch2,6162,10,1944
503,QY#HG#MR1s2#R#rx82#6158#10,504,MR1,2,R,rx82,6158,10,1948
505,QY#HG#MR1s2#R#afdx#6198#10,506,MR1,2,R,afdx,6198,10,1950
512,QY#HG#MR1s2#R#dpog#6178#10,513,MR1,2,R,dpog,6178,10,1957
517,QY#HG#MR1s2#R#dpmg#6182#10,518,MR1,2,R,dpmg,6182,10,1962
518,QY#HG#MR1s2#R#ly34#6202#10,519,MR1,2,R,ly34,6202,10,1963
521,QY#HG#MR1s2#R#cpog#6170#10,522,MR1,2,R,cpog,6170,10,1966
525,QY#HG#MR1s2#R#cpmg#6174#10,526,MR1,2,R,cpmg,6174,10,1970
529,QY#HG#MR1s2#R#keta#6146#10,530,MR1,2,R,keta,6146,10,1974
530,QY#HG#MR1S2#R#pire#9514#10,531,MR1,2,R,pire,9514,10,1975
531,QY#HG#MR1S2#R#pire#9514#UB,532,MR1,2,R,pire,9514,UB,1976
553,QY#HG#MR1s2#R#ampa#6119#11,554,MR1,2,R,ampa,6119,11,1998
560,QY#HG#MR1s2#R#kain#6123#11,561,MR1,2,R,kain,6123,11,2005
561,QY#HG#MR1s2#R#mk80#6127#11,562,MR1,2,R,mk80,6127,11,2006
562,QY#HG#MR1s2#R#musc#6130#11,563,MR1,2,R,musc,6130,11,2007
563,QY#HG#MR1s2#R#cgp5#6187#11,564,MR1,2,R,cgp5,6187,11,2008
564,QY#HG#MR1s2#R#flum#6190#11,565,MR1,2,R,flum,6190,11,2009
566,QY#HG#MR1s2#R#oxot#6138#11,567,MR1,2,R,oxot,6138,11,2011
569,QY#HG#MR1s2#R#damp#6195#11,570,MR1,2,R,damp,6195,11,2014
572,QY#HG#MR1s2#R#epib#6166#11,573,MR1,2,R,epib,6166,11,2017
573,QY#HG#MR1s2#R#praz#6150#11,574,MR1,2,R,praz,6150,11,2018
574,QY#HG#MR1s2#R#uk14#6154#11,575,MR1,2,R,uk14,6154,11,2019
577,QY#HG#MR1s2#R#dpat#6142#11,578,MR1,2,R,dpat,6142,11,2022
578,QY#HG#MR1s2#R#sr95#6206#11,579,MR1,2,R,sr95,6206,11,2023
579,QY#HG#MR1s2#R#sch2#6162#11,580,MR1,2,R,sch2,6162,11,2024
583,QY#HG#MR1s2#R#rx82#6158#11,584,MR1,2,R,rx82,6158,11,2028
584,QY#HG#MR1s2#R#afdx#6199#11,585,MR1,2,R,afdx,6199,11,2029
585,QY#HG#MR1s2#R#dpog#6179#11,586,MR1,2,R,dpog,6179,11,2030
587,QY#HG#MR1s2#R#dpmg#6182#11,588,MR1,2,R,dpmg,6182,11,2032
588,QY#HG#MR1s2#R#ly34#6202#11,589,MR1,2,R,ly34,6202,11,2033
592,QY#HG#MR1s2#R#cpog#6171#11,593,MR1,2,R,cpog,6171,11,2037
593,QY#HG#MR1s2#R#cpmg#6175#11,594,MR1,2,R,cpmg,6175,11,2038
594,QY#HG#MR1s2#R#keta#6146#11,595,MR1,2,R,keta,6146,11,2039
595,QY#HG#MR1S2#R#pire#9515#11,596,MR1,2,R,pire,9515,11,2040
611,QY#HG#MR1s2#R#ampa#6119#12,612,MR1,2,R,ampa,6119,12,2056
614,QY#HG#MR1s2#R#kain#6123#12,615,MR1,2,R,kain,6123,12,2059
615,QY#HG#MR1s2#R#mk80#6127#12,616,MR1,2,R,mk80,6127,12,2060
616,QY#HG#MR1s2#R#musc#6130#12,617,MR1,2,R,musc,6130,12,2061
617,QY#HG#MR1s2#R#cgp5#6187#12,618,MR1,2,R,cgp5,6187,12,2062
618,QY#HG#MR1s2#R#flum#6190#12,619,MR1,2,R,flum,6190,12,2063
620,QY#HG#MR1s2#R#oxot#6138#12,621,MR1,2,R,oxot,6138,12,2065
623,QY#HG#MR1s2#R#damp#6195#12,624,MR1,2,R,damp,6195,12,2068
626,QY#HG#MR1s2#R#epib#6166#12,627,MR1,2,R,epib,6166,12,2071
627,QY#HG#MR1s2#R#praz#6150#12,628,MR1,2,R,praz,6150,12,2072
628,QY#HG#MR1s2#R#uk14#6154#12,629,MR1,2,R,uk14,6154,12,2073
631,QY#HG#MR1s2#R#dpat#6142#12,632,MR1,2,R,dpat,6142,12,2076
633,QY#HG#MR1s2#R#sr95#6206#12,634,MR1,2,R,sr95,6206,12,2078
634,QY#HG#MR1s2#R#sch2#6162#12,635,MR1,2,R,sch2,6162,12,2079
636,QY#HG#MR1s2#R#rx82#6158#12,637,MR1,2,R,rx82,6158,12,2081
638,QY#HG#MR1s2#R#afdx#6199#12,639,MR1,2,R,afdx,6199,12,2083
639,QY#HG#MR1s2#R#dpog#6179#12,640,MR1,2,R,dpog,6179,12,2084
643,QY#HG#MR1s2#R#dpmg#6182#12,644,MR1,2,R,dpmg,6182,12,2088
644,QY#HG#MR1s2#R#ly34#6202#12,645,MR1,2,R,ly34,6202,12,2089
646,QY#HG#MR1s2#R#cpog#6171#12,647,MR1,2,R,cpog,6171,12,2091
647,QY#HG#MR1s2#R#cpmg#6175#12,648,MR1,2,R,cpmg,6175,12,2092
648,QY#HG#MR1s2#R#keta#6146#12,649,MR1,2,R,keta,6146,12,2093
649,QY#HG#MR1S2#R#pire#9515#12,650,MR1,2,R,pire,9515,12,2094
660,QY#HG#MR1s2#R#ampa#6119#13,661,MR1,2,R,ampa,6119,13,2105
662,QY#HG#MR1s2#R#kain#6123#13,663,MR1,2,R,kain,6123,13,2107
663,QY#HG#MR1s2#R#mk80#6127#13,664,MR1,2,R,mk80,6127,13,2108
664,QY#HG#MR1s2#R#musc#6130#13,665,MR1,2,R,musc,6130,13,2109
666,QY#HG#MR1s2#R#cgp5#6187#13,667,MR1,2,R,cgp5,6187,13,2111
667,QY#HG#MR1s2#R#flum#6190#13,668,MR1,2,R,flum,6190,13,2112
669,QY#HG#MR1s2#R#oxot#6138#13,670,MR1,2,R,oxot,6138,13,2114
671,QY#HG#MR1s2#R#damp#6195#13,672,MR1,2,R,damp,6195,13,2116
674,QY#HG#MR1s2#R#epib#6166#13,675,MR1,2,R,epib,6166,13,2119
675,QY#HG#MR1s2#R#praz#6150#13,676,MR1,2,R,praz,6150,13,2120
676,QY#HG#MR1s2#R#uk14#6154#13,677,MR1,2,R,uk14,6154,13,2121
678,QY#HG#MR1s2#R#dpat#6142#13,679,MR1,2,R,dpat,6142,13,2123
679,QY#HG#MR1s2#R#sr95#6206#13,680,MR1,2,R,sr95,6206,13,2124
680,QY#HG#MR1s2#R#sch2#6162#13,681,MR1,2,R,sch2,6162,13,2125
683,QY#HG#MR1s2#R#rx82#6158#13,684,MR1,2,R,rx82,6158,13,2128
684,QY#HG#MR1s2#R#afdx#6199#13,685,MR1,2,R,afdx,6199,13,2129
685,QY#HG#MR1s2#R#dpog#6179#13,686,MR1,2,R,dpog,6179,13,2130
687,QY#HG#MR1s2#R#dpmg#6182#13,688,MR1,2,R,dpmg,6182,13,2132
688,QY#HG#MR1s2#R#ly34#6202#13,689,MR1,2,R,ly34,6202,13,2133
690,QY#HG#MR1s2#R#cpog#6171#13,691,MR1,2,R,cpog,6171,13,2135
691,QY#HG#MR1s2#R#cpmg#6175#13,692,MR1,2,R,cpmg,6175,13,2136
692,QY#HG#MR1s2#R#keta#6146#13,693,MR1,2,R,keta,6146,13,2137
693,QY#HG#MR1S2#R#pire#9515#13,694,MR1,2,R,pire,9515,13,2138
704,QY#HG#MR1s2#R#ampa#6120#14,705,MR1,2,R,ampa,6120,14,2149
705,QY#HG#MR1s2#R#kain#6124#14,706,MR1,2,R,kain,6124,14,2150
707,QY#HG#MR1s2#R#mk80#6128#14,708,MR1,2,R,mk80,6128,14,2152
708,QY#HG#MR1s2#R#musc#6130#14,709,MR1,2,R,musc,6130,14,2153
716,QY#HG#MR1s2#R#cgp5#6188#14,717,MR1,2,R,cgp5,6188,14,2161
717,QY#HG#MR1s2#R#flum#6190#14,718,MR1,2,R,flum,6190,14,2162
720,QY#HG#MR1s2#R#oxot#6138#14,721,MR1,2,R,oxot,6138,14,2165
723,QY#HG#MR1s2#R#damp#6196#14,724,MR1,2,R,damp,6196,14,2168
726,QY#HG#MR1s2#R#epib#6166#14,727,MR1,2,R,epib,6166,14,2171
729,QY#HG#MR1s2#R#praz#6150#14,730,MR1,2,R,praz,6150,14,2174
730,QY#HG#MR1s2#R#uk14#6154#14,731,MR1,2,R,uk14,6154,14,2175
732,QY#HG#MR1s2#R#dpat#6142#14,733,MR1,2,R,dpat,6142,14,2177
735,QY#HG#MR1s2#R#sr95#6206#14,736,MR1,2,R,sr95,6206,14,2180
736,QY#HG#MR1s2#R#sch2#6162#14,737,MR1,2,R,sch2,6162,14,2181
739,QY#HG#MR1s2#R#rx82#6158#14,740,MR1,2,R,rx82,6158,14,2184
741,QY#HG#MR1s2#R#afdx#6200#14,742,MR1,2,R,afdx,6200,14,2186
742,QY#HG#MR1s2#R#dpog#6180#14,743,MR1,2,R,dpog,6180,14,2187
744,QY#HG#MR1s2#R#dpmg#6182#14,745,MR1,2,R,dpmg,6182,14,2189
745,QY#HG#MR1s2#R#ly34#6202#14,746,MR1,2,R,ly34,6202,14,2190
749,QY#HG#MR1s2#R#cpog#6172#14,750,MR1,2,R,cpog,6172,14,2194
753,QY#HG#MR1s2#R#cpmg#6176#14,754,MR1,2,R,cpmg,6176,14,2198
754,QY#HG#MR1s2#R#keta#6146#14,755,MR1,2,R,keta,6146,14,2199
755,QY#HG#MR1S2#R#pire#9515#14,756,MR1,2,R,pire,9515,14,2200
771,QY#HG#MR1s2#R#ampa#6120#15,772,MR1,2,R,ampa,6120,15,2216
775,QY#HG#MR1s2#R#kain#6124#15,776,MR1,2,R,kain,6124,15,2220
776,QY#HG#MR1s2#R#mk80#6128#15,777,MR1,2,R,mk80,6128,15,2221
777,QY#HG#MR1s2#R#musc#6131#15,778,MR1,2,R,musc,6131,15,2222
778,QY#HG#MR1s2#R#cgp5#6188#15,779,MR1,2,R,cgp5,6188,15,2223
780,QY#HG#MR1s2#R#flum#6191#15,781,MR1,2,R,flum,6191,15,2225
782,QY#HG#MR1s2#R#oxot#6139#15,783,MR1,2,R,oxot,6139,15,2227
786,QY#HG#MR1s2#R#damp#6196#15,787,MR1,2,R,damp,6196,15,2231
789,QY#HG#MR1s2#R#epib#6167#15,790,MR1,2,R,epib,6167,15,2234
792,QY#HG#MR1s2#R#praz#6151#15,793,MR1,2,R,praz,6151,15,2237
795,QY#HG#MR1s2#R#uk14#6155#15,796,MR1,2,R,uk14,6155,15,2240
797,QY#HG#MR1s2#R#dpat#6143#15,798,MR1,2,R,dpat,6143,15,2242
799,QY#HG#MR1s2#R#sch2#6163#15,800,MR1,2,R,sch2,6163,15,2244
806,QY#HG#MR1s2#R#rx82#6159#15,807,MR1,2,R,rx82,6159,15,2251
807,QY#HG#MR1s2#R#afdx#6200#15,808,MR1,2,R,afdx,6200,15,2252
813,QY#HG#MR1s2#R#dpog#6180#15,814,MR1,2,R,dpog,6180,15,2258
815,QY#HG#MR1s2#R#dpmg#6183#15,816,MR1,2,R,dpmg,6183,15,2260
817,QY#HG#MR1s2#R#ly34#6203#15,818,MR1,2,R,ly34,6203,15,2262
819,QY#HG#MR1s2#R#cpog#6172#15,820,MR1,2,R,cpog,6172,15,2264
820,QY#HG#MR1s2#R#cpmg#6176#15,821,MR1,2,R,cpmg,6176,15,2265
821,QY#HG#MR1s2#R#keta#6146#15,822,MR1,2,R,keta,6146,15,2266
822,QY#HG#MR1S2#R#pire#9516#15,823,MR1,2,R,pire,9516,15,2267
836,QY#HG#MR1s2#R#ampa#6120#16,837,MR1,2,R,ampa,6120,16,2281
839,QY#HG#MR1s2#R#kain#6124#16,840,MR1,2,R,kain,6124,16,2284
840,QY#HG#MR1s2#R#mk80#6128#16,841,MR1,2,R,mk80,6128,16,2285
841,QY#HG#MR1s2#R#musc#6131#16,842,MR1,2,R,musc,6131,16,2286
842,QY#HG#MR1s2#R#cgp5#6188#16,843,MR1,2,R,cgp5,6188,16,2287
843,QY#HG#MR1s2#R#flum#6191#16,844,MR1,2,R,flum,6191,16,2288
845,QY#HG#MR1s2#R#oxot#6139#16,846,MR1,2,R,oxot,6139,16,2290
847,QY#HG#MR1s2#R#damp#6196#16,848,MR1,2,R,damp,6196,16,2292
849,QY#HG#MR1s2#R#epib#6167#16,850,MR1,2,R,epib,6167,16,2294
850,QY#HG#MR1s2#R#praz#6151#16,851,MR1,2,R,praz,6151,16,2295
851,QY#HG#MR1s2#R#uk14#6155#16,852,MR1,2,R,uk14,6155,16,2296
853,QY#HG#MR1s2#R#dpat#6143#16,854,MR1,2,R,dpat,6143,16,2298
854,QY#HG#MR1s2#R#sr95#6207#16,855,MR1,2,R,sr95,6207,16,2299
855,QY#HG#MR1s2#R#sch2#6163#16,856,MR1,2,R,sch2,6163,16,2300
857,QY#HG#MR1s2#R#rx82#6159#16,858,MR1,2,R,rx82,6159,16,2302
858,QY#HG#MR1s2#R#afdx#6200#16,859,MR1,2,R,afdx,6200,16,2303
859,QY#HG#MR1s2#R#dpog#6180#16,860,MR1,2,R,dpog,6180,16,2304
861,QY#HG#MR1s2#R#sr95#6207#15,862,MR1,2,R,sr95,6207,15,2306
864,QY#HG#MR1s2#R#dpmg#6183#16,865,MR1,2,R,dpmg,6183,16,2309
865,QY#HG#MR1s2#R#ly34#6203#16,866,MR1,2,R,ly34,6203,16,2310
869,QY#HG#MR1s2#R#cpog#6172#16,870,MR1,2,R,cpog,6172,16,2314
870,QY#HG#MR1s2#R#cpmg#6176#16,871,MR1,2,R,cpmg,6176,16,2315
871,QY#HG#MR1s2#R#keta#6147#16,872,MR1,2,R,keta,6147,16,2316
872,QY#HG#MR1S2#R#pire#9516#16,873,MR1,2,R,pire,9516,16,2317
885,QY#HG#MR1s2#R#ampa#6120#17,886,MR1,2,R,ampa,6120,17,2330
887,QY#HG#MR1s2#R#kain#6124#17,888,MR1,2,R,kain,6124,17,2332
888,QY#HG#MR1s2#R#mk80#6128#17,889,MR1,2,R,mk80,6128,17,2333
889,QY#HG#MR1s2#R#musc#6131#17,890,MR1,2,R,musc,6131,17,2334
890,QY#HG#MR1s2#R#cgp5#6188#17,891,MR1,2,R,cgp5,6188,17,2335
891,QY#HG#MR1s2#R#flum#6191#17,892,MR1,2,R,flum,6191,17,2336
894,QY#HG#MR1s2#R#oxot#6139#17,895,MR1,2,R,oxot,6139,17,2339
896,QY#HG#MR1s2#R#damp#6196#17,897,MR1,2,R,damp,6196,17,2341
899,QY#HG#MR1s2#R#epib#6167#17,900,MR1,2,R,epib,6167,17,2344
900,QY#HG#MR1s2#R#praz#6151#17,901,MR1,2,R,praz,6151,17,2345
